"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","anatomy","batch-size","batch_size","checkpoint_dir","command","detectability_contrast_hu","detectability_contrasts_hu","detectability_max_slices","detectability_periimage_max_slices","detectability_roi_size","detectability_sites","device","entity","epochs","eval_detectability","f2n-channels","f2n-iters","f2n-layers","f2n-lr","f2n-radius","f2n_channels","f2n_iters","f2n_layers","f2n_lr","f2n_radius","flow-steps-eval","flow-steps","flow_steps","flow_steps_eval","git_sha","gpu_name","h5_path","hu_offset","hu_scale","log_image_freq","log_images","lr","method","metric.goal","metric.name","model","model_size_mb","n2sim-exclude-radius","n2sim-num-similar","n2sim-patch-radius","n2sim-search-radius","n2sim_exclude_radius","n2sim_num_similar","n2sim_patch_radius","n2sim_search_radius","n2v-mask-fraction","n2v-neighbor-radius","n2v_mask_fraction","n2v_neighbor_radius","n_train_patients","n_train_slices","n_val_patients","n_val_slices","num-workers","num_workers","param_count","parameters.batch-size","parameters.batch_sizes","parameters.epochs","parameters.f2n-channels","parameters.f2n-iters","parameters.f2n-layers","parameters.f2n-lr","parameters.f2n-radius","parameters.flow-steps-eval","parameters.flow-steps-evals","parameters.flow-steps","parameters.h5_cache","parameters.lr.distribution","parameters.lr.max","parameters.lr.min","parameters.model","parameters.models","parameters.n2sim-exclude-radiuss","parameters.n2sim-num-similar","parameters.n2sim-patch-radius","parameters.n2sim-search-radius","parameters.n2v-mask-fraction","parameters.n2v-neighbor-radius","parameters.num-workers","parameters.patch_sizes","parameters.prefetch-factor","parameters.seeds","parameters.ssflow-exclude-radiuss","parameters.ssflow-num-similar","parameters.ssflow-pairing","parameters.ssflow-patch-radius","parameters.ssflow-search-radius","parameters.training-mode","parameters.training-modes","parameters.wandb_project","parameters.zsn2n-channels","parameters.zsn2n-iters","parameters.zsn2n-lr","patch_size","prefetch-factor","prefetch_factor","program","project","seed","ssflow-exclude-radius","ssflow-num-similar","ssflow-pairing","ssflow-patch-radius","ssflow-search-radius","ssflow_exclude_radius","ssflow_num_similar","ssflow_pairing","ssflow_patch_radius","ssflow_search_radius","synthetic_len","torch_version","trainable_params","training-mode","training_mode","val_fraction","val_patient_ids","wandb_project","zsn2n-channels","zsn2n-iters","zsn2n-lr","zsn2n_channels","zsn2n_iters","zsn2n_lr","baseline/gmsd","baseline/gmsd_std","baseline/nps_ratio","baseline/nps_ratio_std","baseline/psnr","baseline/psnr_std","baseline/rmse","baseline/rmse_std","baseline/ssim","baseline/ssim_std","det/auc_clean","det/auc_denoised","det/auc_fabrication","det/auc_input","det/c160/auc_clean","det/c160/auc_denoised","det/c160/auc_input","det/c160/d_prime_clean","det/c160/d_prime_denoised","det/c160/d_prime_input","det/c160/detectability_preserved","det/c160/n_rois_clean","det/c160/n_rois_denoised","det/c160/n_rois_input","det/c40/auc_clean","det/c40/auc_denoised","det/c40/auc_input","det/c40/d_prime_clean","det/c40/d_prime_denoised","det/c40/d_prime_input","det/c40/detectability_preserved","det/c40/n_rois_clean","det/c40/n_rois_denoised","det/c40/n_rois_input","det/c80/auc_clean","det/c80/auc_denoised","det/c80/auc_input","det/c80/d_prime_clean","det/c80/d_prime_denoised","det/c80/d_prime_input","det/c80/detectability_preserved","det/c80/n_rois_clean","det/c80/n_rois_denoised","det/c80/n_rois_input","det/d_prime_clean","det/d_prime_denoised","det/d_prime_fabrication","det/d_prime_fabrication_input","det/d_prime_input","det/detectability_preserved","det/n_rois_clean","det/n_rois_denoised","det/n_rois_input","det/n_slices","det/noise_power_denoised","det/noise_power_input","det/nps_mean_freq_denoised","det/nps_mean_freq_input","epoch","train/loss","val/gmsd","val/gmsd.min","val/gmsd_std","val/latency_ms","val/nps_ratio","val/nps_ratio.min","val/nps_ratio_std","val/peak_mem_mb","val/psnr","val/psnr.max","val/psnr_gain","val/psnr_std","val/rmse","val/rmse.min","val/rmse_std","val/ssim","val/ssim.max","val/ssim_gain","val/ssim_std"
"solar-sweep-9","","finished","-","","","2026-07-11T10:13:05.000Z","31065","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","3","1","1","4","3","1","1","4","","","0.02","2","40","6442","10","1717","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","2","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L033,L056,L064,L107,L134,L148,L178,L193,L209,L299","ctdenoiser-sweep","","","","48","2000","0.001","0.1743450308252228","0.025161074853986172","0.011259451431635035","0.006622849727059079","30.035500681393355","2.1568400973465605","0.032486801829794396","0.008327561167528176","0.87730835372095","0.04906202559296733","0.9998081938300164","0.9994127312372172","0.5072929187252257","0.9997695622793682","0.9998081938300164","0.9994127312372172","0.9997695622793682","5.02202570412738","4.589112281691879","4.953314344033104","0.9264730568170072","1200","1200","1200","0.812669734969969","0.8146691907602304","0.8093845684335557","1.255506765668037","1.266053108513651","1.2383287259956752","1.022388548319982","1200","1200","1200","0.9620968156485584","0.959533087034618","0.960049537559666","2.511013309666974","2.4682174688046032","2.4766573647754035","0.996592223013632","1200","1200","1200","5.02202570412738","4.589112281691879","0.02585416384387932","0.02320129409395606","4.953314344033104","0.9264730568170072","1200","1200","1200","200","0.011546838507929348","0.013690959554999917","0.09418738124045456","0.10763022883371871","50","0.0007185027505056016","","0.16163611136502698","0.019976420568512725","241.80554556153197","","0.007191691564175804","0.004948967182597483","45.646336","","31.927705012717496","1.892204331324141","1.6693887687591418","","0.025993345338410773","0.006018539816605261","","0.9042617262069332","0.02607472063013472","0.04116514038072936"
"leafy-sweep-8","","finished","-","","","2026-07-11T09:43:03.000Z","23580","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","3","1","1","4","3","1","1","4","","","0.02","2","40","6395","10","1764","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","1","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L014,L049,L064,L081,L107,L131,L178,L266,L273,L277","ctdenoiser-sweep","","","","48","2000","0.001","0.1817106632748091","0.025930322133062955","0.015348401400281746","0.01255091615694689","29.271948412162107","2.730983950082522","0.03612447276187727","0.011609873771247331","0.8587089023825263","0.058741084661104115","0.9999458671538104","0.999605942583616","0.5082754702787418","0.9999267037559536","0.9999458671538104","0.999605942583616","0.9999267037559536","5.474815569530475","4.747423773496021","5.369446487055258","0.8841551517351335","1200","1200","1200","0.8334326779173298","0.8317359644754312","0.8287386585113559","1.3687031206103066","1.3591270107182762","1.3423609968807524","1.0124899441182238","1200","1200","1200","0.9735440282685178","0.9704748650413368","0.9711773363580511","2.7374067737019043","2.6697790608813627","2.684722424241604","0.9944339261201416","1200","1200","1200","5.474815569530475","4.747423773496021","0.029337882478753657","0.031781855157137974","5.369446487055258","0.8841551517351335","1200","1200","1200","200","0.009463772830131348","0.011120062474947196","0.09410603330893944","0.1083852938630364","50","0.0006952390790242699","","0.16963084016307817","0.02004003442904161","214.7052344312266","","0.009261612979697314","0.007602230899123021","46.203392","","31.24818659693746","1.9762381847753543","2.046861552446843","","0.028445470461499395","0.008008883763178888","","0.8894828001455385","0.03040378113317377","0.04950269842470862"
"iconic-sweep-7","","finished","-","","","2026-07-11T09:34:44.000Z","16598","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100 80GB PCIe","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","3","1","1","4","3","1","1","4","","","0.02","2","40","6683","10","1476","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","0","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L004,L006,L057,L075,L081,L170,L175,L210,L237,L273","ctdenoiser-sweep","","","","48","2000","0.001","0.16579707945649055","0.02371023950991721","0.007906541896972624","0.003156594087970572","31.436725347668823","1.819202710753889","0.02736140823819571","0.005331033674202936","0.893201514957397","0.03449907267976729","0.9999999935354418","0.9999998962228294","0.5085926306593392","0.9999999860405032","0.9999999935354418","0.9999998962228294","0.9999999860405032","8.042631204801383","7.343220881808322","7.854555880825419","0.934899565707417","1200","1200","1200","0.9224505425745264","0.9175836417564622","0.9175078814661328","2.010657764656824","1.9643427942200236","1.963638355643936","1.000358741503527","1200","1200","1200","0.9977689461044764","0.9968251267456258","0.9972568772977186","4.02131557264479","3.8596035039326337","3.927277136420278","0.982768307369994","1200","1200","1200","8.042631204801383","7.343220881808322","0.0304624380998525","0.029685928299450833","7.854555880825419","0.934899565707417","1200","1200","1200","200","0.0058301888546945235","0.006922582487362279","0.1034950386394154","0.11853174098513336","50","0.0007467416121498153","","0.15553108337246951","0.018218558331369667","196.32517072298944","","0.005244724957040842","0.0024482826739250997","46.203392","","33.185884710895984","1.749159363227161","1.2093825442521122","","0.022281937158558023","0.0035702785671433836","","0.9182024410342784","0.02460426689809581","0.02760066932320113"
"lilac-sweep-6","","finished","-","","","2026-07-11T04:58:00.000Z","36892","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","2","1","1","4","2","1","1","4","","","0.02","2","40","6442","10","1717","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","2","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L033,L056,L064,L107,L134,L148,L178,L193,L209,L299","ctdenoiser-sweep","","","","48","2000","0.001","0.1743450308252228","0.025161074853986172","0.011259451431635035","0.006622849727059079","30.035500681393355","2.1568400973465605","0.032486801829794396","0.008327561167528176","0.87730835372095","0.04906202559296733","0.9998081938300164","0.9994530304592446","0.5070246936905771","0.9997695622793682","0.9998081938300164","0.9994530304592446","0.9997695622793682","5.02202570412738","4.617664133567779","4.953314344033104","0.9322372482033856","1200","1200","1200","0.812669734969969","0.8152214981581276","0.8093845684335557","1.255506765668037","1.2689787413339022","1.2383287259956752","1.0247511138963388","1200","1200","1200","0.9620968156485584","0.9608316456238236","0.960049537559666","2.511013309666974","2.489609104891695","2.4766573647754035","1.0052295243986913","1200","1200","1200","5.02202570412738","4.617664133567779","0.02490317772009729","0.02320129409395606","4.953314344033104","0.9322372482033856","1200","1200","1200","200","0.011712671260756905","0.013690959554999917","0.09490645376118746","0.10763022934848612","50","0.0006631731655607992","","0.15998219753342724","0.021190838587106225","285.0426844075478","","0.00712798640143341","0.005125419993495107","45.646336","","32.00255546058828","1.967054779194928","1.8913765322864544","","0.02582063889440125","0.006519506171880233","","0.9044495389846152","0.02651124109552561","0.042004782637377995"
"whole-sweep-5","","finished","-","","","2026-07-11T04:33:06.000Z","20392","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","2","1","1","4","2","1","1","4","","","0.02","2","40","6395","10","1764","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","1","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L014,L049,L064,L081,L107,L131,L178,L266,L273,L277","ctdenoiser-sweep","","","","48","2000","0.001","0.1817106632748091","0.025930322133062955","0.015348401400281746","0.01255091615694689","29.271948412162107","2.730983950082522","0.03612447276187727","0.011609873771247331","0.8587089023825263","0.058741084661104115","0.9999458671538104","0.9996108501256356","0.5098488805601826","0.9999267037559536","0.9999458671538104","0.9996108501256356","0.9999267037559536","5.474815569530475","4.752321875961754","5.369446487055258","0.8850673691261702","1200","1200","1200","0.8334326779173298","0.8316637413750285","0.8287386585113559","1.3687031206103066","1.3587207721456511","1.3423609968807524","1.0121873142194342","1200","1200","1200","0.9735440282685178","0.9709183751771798","0.9711773363580511","2.7374067737019043","2.6791788019818146","2.684722424241604","0.9979351227487306","1200","1200","1200","5.474815569530475","4.752321875961754","0.03491691976133905","0.031781855157137974","5.369446487055258","0.8850673691261702","1200","1200","1200","200","0.009594641032066038","0.011120062474947196","0.09472358890555116","0.10838529389012942","50","0.0006240199513528044","","0.16861723694958788","0.02142243129409959","202.5608724928746","","0.0091516599835867","0.007942929010049461","46.203392","","31.361310471212512","2.089362059050405","2.267005361688632","","0.028142526615389924","0.00858202714842758","","0.889584002851629","0.03087510046910269","0.0501430283125025"
"silver-sweep-4","","finished","-","","","2026-07-11T04:32:38.000Z","30564","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","2","1","1","4","2","1","1","4","","","0.02","2","40","6683","10","1476","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","0","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L004,L006,L057,L075,L081,L170,L175,L210,L237,L273","ctdenoiser-sweep","","","","48","2000","0.001","0.16579707945649055","0.02371023950991721","0.007906541896972624","0.003156594087970572","31.436725347668823","1.819202710753889","0.02736140823819571","0.005331033674202936","0.893201514957397","0.03449907267976729","0.9999999935354418","0.9999999078160512","0.5085295314128837","0.9999999860405032","0.9999999935354418","0.9999999078160512","0.9999999860405032","8.042631204801383","7.374339544789932","7.854555880825419","0.9388614272631514","1200","1200","1200","0.9224505425745264","0.9180861672794642","0.9175078814661328","2.010657764656824","1.969027792783404","1.963638355643936","1.0027446179811967","1200","1200","1200","0.9977689461044764","0.996993827331274","0.9972568772977186","4.02131557264479","3.8849964599846256","3.927277136420278","0.9892340991055724","1200","1200","1200","8.042631204801383","7.374339544789932","0.030238705577606287","0.029685928299450833","7.854555880825419","0.9388614272631514","1200","1200","1200","200","0.005856467778891481","0.006922582487362279","0.10398994711312372","0.1185317402265288","50","0.0006720541021048038","","0.15175082960082747","0.01959704303077147","261.7612179718296","","0.005079229790111625","0.0025046423999940926","46.203392","","33.342095804085254","1.905370456416431","1.4227612017563478","","0.021917902651245436","0.003970450930460513","","0.9186802460006904","0.025413572303647936","0.02838575193948407"
"electric-sweep-3","","finished","-","","","2026-07-11T04:31:42.000Z","44199","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","1","1","1","4","1","1","1","4","","","0.02","2","40","6442","10","1717","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","2","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L033,L056,L064,L107,L134,L148,L178,L193,L209,L299","ctdenoiser-sweep","","","","48","2000","0.001","0.1743450308252228","0.025161074853986172","0.011259451431635035","0.006622849727059079","30.035500681393355","2.1568400973465605","0.032486801829794396","0.008327561167528176","0.87730835372095","0.04906202559296733","0.9998081938300164","0.9994765691346992","0.5073303408563403","0.9997695622793682","0.9998081938300164","0.9994765691346992","0.9997695622793682","5.02202570412738","4.635254844675079","4.953314344033104","0.9357885493899316","1200","1200","1200","0.812669734969969","0.8139266595805403","0.8093845684335557","1.255506765668037","1.262128356701245","1.2383287259956752","1.0192191541760718","1200","1200","1200","0.9620968156485584","0.9608321403976874","0.960049537559666","2.511013309666974","2.489617364698325","2.4766573647754035","1.0052328594610005","1200","1200","1200","5.02202570412738","4.635254844675079","0.02598684412892241","0.02320129409395606","4.953314344033104","0.9357885493899316","1200","1200","1200","200","0.011877032198147695","0.013690959554999917","0.09626526361162008","0.107630229213021","50","0.0005162937094760178","","0.16263322628943394","0.022426391484848703","470.0535402064259","","0.007485406462091738","0.005714665237631157","45.646336","","31.83927059673471","1.803769915341359","2.0177540838954195","","0.026399832882798544","0.007168712697119587","","0.900744440809682","0.023436087088732016","0.04498156481893418"
"young-sweep-2","","finished","-","","","2026-07-11T04:30:13.000Z","18267","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100 80GB PCIe","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","1","1","1","4","1","1","1","4","","","0.02","2","40","6395","10","1764","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","1","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L014,L049,L064,L081,L107,L131,L178,L266,L273,L277","ctdenoiser-sweep","","","","48","2000","0.001","0.1817106632748091","0.025930322133062955","0.015348401400281746","0.01255091615694689","29.271948412162107","2.730983950082522","0.03612447276187727","0.011609873771247331","0.8587089023825263","0.058741084661104115","0.9999458671538104","0.9995920057136538","0.509983920230458","0.9999267037559536","0.9999458671538104","0.9995920057136538","0.9999267037559536","5.474815569530475","4.7338162247532285","5.369446487055258","0.8816208963373754","1200","1200","1200","0.8334326779173298","0.8305559617406697","0.8287386585113559","1.3687031206103066","1.352503750095399","1.3423609968807524","1.0075559057796042","1200","1200","1200","0.9735440282685178","0.9702542013932716","0.9711773363580511","2.7374067737019043","2.6651459231931613","2.684722424241604","0.9927081843278556","1200","1200","1200","5.474815569530475","4.7338162247532285","0.03539577086921176","0.031781855157137974","5.369446487055258","0.8816208963373754","1200","1200","1200","200","0.009839544337446573","0.011120062474947196","0.0966070848974315","0.10838529394431548","50","0.0004855640937244349","","0.17094232809313842","0.022534200445785777","180.17440806660383","","0.009775564002779643","0.008834174117792776","46.203392","","31.16155487069197","1.8896064585298615","2.4337487878202544","","0.02894681656591662","0.0093333337918143","","0.8852692245761283","0.02656032219360205","0.052071694535115974"
"eternal-sweep-1","","finished","-","","","2026-07-11T04:30:12.000Z","18763","iidab9pq","abdomen","32","32","checkpoints","","","[40,80,160]","200","25","32","6","cuda","","50","true","","","","","","16","1500","2","0.001","3","","","20","5","5b4b4b0","NVIDIA A100-SXM4-80GB","/workspace/data.h5","160","400","1","0","0.0001","","","","redcnn","7.39546","1","1","1","4","1","1","1","4","","","0.02","2","40","6683","10","1476","6","6","1848865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","4","4","","","0","","","","","","2","1","similarity","1","4","64","2.3.1","1848865","n2sim","n2sim","0.2","L004,L006,L057,L075,L081,L170,L175,L210,L237,L273","ctdenoiser-sweep","","","","48","2000","0.001","0.16579707945649055","0.02371023950991721","0.007906541896972624","0.003156594087970572","31.436725347668823","1.819202710753889","0.02736140823819571","0.005331033674202936","0.893201514957397","0.03449907267976729","0.9999999935354418","0.9999999187423854","0.5073570031544568","0.9999999860405032","0.9999999935354418","0.9999999187423854","0.9999999860405032","8.042631204801383","7.407346574917049","7.854555880825419","0.9430637056131844","1200","1200","1200","0.9224505425745264","0.9180396014034128","0.9175078814661328","2.010657764656824","1.9685927546924815","1.963638355643936","1.002523071030012","1200","1200","1200","0.9977689461044764","0.9970148746062164","0.9972568772977186","4.02131557264479","3.888254059138404","3.927277136420278","0.9900635794403236","1200","1200","1200","8.042631204801383","7.407346574917049","0.026081375531276207","0.029685928299450833","7.854555880825419","0.9430637056131844","1200","1200","1200","200","0.006120467726856687","0.006922582487362279","0.10688101061365816","0.11853174071420317","50","0.0005448274488251344","","0.1563373241664433","0.020649363369118552","201.84424399653184","","0.005458275681528134","0.0028350530559706905","46.203392","","33.044525018552456","1.607799670883633","1.5717940622472388","","0.022690549011400277","0.004437127674132644","","0.9143825689063164","0.02091623192557146","0.030743076140351155"
